expo,exhibitorId,name,externalId,email,phone,website,logo,address,description,country,city,boothIds,boothNames,categoryIds,categoryNames
team26,14263415,Mumo Systems,Mumo Systems,,,,exhibitors/14263415/media/mumo-systems.webp,,"Mumo Systems helps enterprises simplify complexity and drive meaningful transformation across work streams and collaboration through Atlassian solutions. As an Atlassian Platinum and Enterprise Solution Partner, and recipient of the Atlassian Partner of the Year award, we empower IT leaders to unlock agility, enhance service delivery, and scale with confidence.
We support organizations on their journey to modern, efficient, and AI-powered operations. Whether you're migrating, consolidating, optimizing, or extending your Atlassian ecosystem, we bring the technical depth and strategic insight to deliver lasting impact.
Our Expertise Includes:

Cloud Migrations &amp; Instance Consolidation - Transition from ServiceNow, Rally, Cherwell, or Atlassian Server/Data Center to Atlassian Cloud. Unify Jira and Confluence under a single enterprise license to improve visibility and control.
Enterprise Service Management (ESM) - Implement ITSM and business workflows that drive consistency, speed, and alignment across IT, HR, Facilities, Procurement, and more.
AI &amp; Automation Strategy - Integrate Atlassian’s emerging AI tools and automated workflows to boost productivity, streamline service, and support data-driven decisions.
Custom Integrations &amp; App Development - Extend your tools with custom-built apps and integrations that embed directly into your workflows, automating tasks, enhancing UX, and connecting systems.
Managed Services &amp; Platform Support - Offload day-to-day maintenance with certified Atlassian experts who provide proactive support, user enablement, and platform optimization.
Process Optimization &amp; Advisory Consulting - Align your tools with strategic initiatives. We assess, recommend, and implement solutions across Agile, ITSM, DevOps, and ESM.
Value-Added Licensing &amp; Renewals - Simplify procurement with transparent pricing, unlimited quotes, flexible terms, and proactive renewal planning.

Why Mumo Systems?
We don’t just implement tools, we partner in your success. Our mission is to help your teams operate with greater clarity, speed, and impact by simplifying systems, streamlining processes, and driving measurable outcomes.",,,7483732,316,10701749,Select
team26,14263416,Nagarro,Nagarro,,,,exhibitors/14263416/media/nagarro.webp,,"Nagarro is a trusted Atlassian Enterprise Platinum Solution Partner. As global digital engineering experts, we help future-proof your business through a fluidic, innovative, digital-first mindset and thus win in your markets. Our specialized services are designed to optimize Atlassian solutions for diverse teams, ranging from software and IT to business units such as Sales, HR, and QA. With a global team of 17,700 Nagarrians in 39 countries, we excel in integrating processes for agile project management, cloud migration, DevOps, and IT service management (ITSM), ensuring a seamless and efficient agentic workflow for your organization.",,,7483728,317,10701749,Select
team26,14263417,Nimble Evolution,Nimble Evolution,,,,exhibitors/14263417/media/nimble-evolution.webp,,"We are a leading provider of training and innovative solutions for tools like Jira, Confluence, and Bitbucket, ensuring your company makes the most of what Atlassian has to offer.
As partners since 2009, we leverage our expertise in DevOps, Agility, Continuous Improvement, and Project Management to help clients maximize the business outcomes that Atlassian solutions provide.
Our specializations in Cloud and ITSM allow us to create tailor-made solutions for the emerging needs of companies in the digital age. Our approach focuses on client results, driving revenue, strengthening teams, and fostering growth for businesses of all sizes.
We are leaders in migrating legacy systems to Atlassian platforms, ensuring smooth transitions of historical data and optimized workflows. We have revolutionized teams of major retail leaders, insurers, and banks, helping them unlock the full potential of Cloud versions of Jira and other Atlassian tools.
As your partner in Atlassian excellence, Nimble Evolution is committed to transforming your business environment into a more agile, efficient, and innovative space.
Start your journey towards operational excellence and digital transformation with Nimble Evolution!",,,7483684,344,10701749,Select
team26,14263420,Oxalis Solutions,Oxalis Solutions,,,,exhibitors/14263420/media/oxalis-solutions.webp,,"Oxalis isn’t just a technology partner. We’re your unfair advantage. We solve complex problems fast, with secure, high-impact Atlassian solutions built for regulated industries.
As a Platinum Solution Partner with specializations in Service Management, Cloud, Enterprise Strategy &amp; Planning, and Software Development, Oxalis is trusted by government agencies, shipyards, manufacturers, health systems, and highly regulated teams that simply can’t afford to fail.
We help teams optimize service delivery, modernize cloud environments, and align strategy to execution—all while meeting the strictest compliance, security, and performance standards.
What sets us apart? We embed quickly, stay engaged, and deliver real results. Our consultants bring a rare blend of technical excellence and human empathy, building long-term partnerships rooted in trust and measurable impact.
Let’s solve what matters, together.",,,7483765,234,10701751,Signature
team26,14263421,Perforce Gliffy,Perforce Gliffy,,,,exhibitors/14263421/media/perforce-gliffy.webp,,"Gliffy helps busy teams save time and build better documentation by bringing intuitive technical diagramming to Confluence. Create detailed flowcharts, Mermaid diagrams, UML diagrams, and more directly in Confluence—no external tools or connectors.",,,7483690,354,10701751,Signature
team26,14263423,Praecipio,Praecipio,,,,exhibitors/14263423/media/praecipio.webp,,"Your business deserves more than a cookie-cutter approach. We align your Atlassian tools with your vision, delivering strategic solutions, seamless implementations, and efficient migrations that empower clarity, modernization, and real-time insights for unparalleled success.
We tackle the big issues that hold you back, like hidden work and budget drains that most Atlassian partners overlook. At Praecipio, we go beyond setting up tools, ensuring your Atlassian products align with your strategic vision through flexible licensing and tailored consulting services. Think expert guidance and hands-on support that focuses on real results.",,,7483683,336,10701749,Select
team26,14255776,Professional Headshots,professional-headshots,,,,,,,,,7483747,218,,
team26,14218790,Projects,Projects,,,,,,"Get a clear view of project status at a glance. The Projects app provides a single source of truth for what’s on track, what’s blocked, and what’s coming next. It pulls key details together so everyone can understand progress quickly.",,,7517333,Atlassian Platform,,
team26,14263424,re:solution,re:solution,,,,exhibitors/14263424/media/resolution.webp,,"This Berlin-based company offers a comprehensive range of Cloud apps, including NASA - Not Another Standup App and their latest addition: User Manager for Cloud. You will also find integrations with third-party platforms like HubSpot, monday.com, and Smartsheet, plus productivity boosters like Language Translation for JSM and Out of Office Assistant for Jira Cloud. In addition to their Cloud portfolio, they develop enterprise-level user management apps for Atlassian Data Center.",,,7483686,341,10701749,Select
team26,14263425,Refined,Refined,,,,exhibitors/14263425/media/refined.webp,,"Refined is the AI-powered experience layer for Atlassian Confluence and Jira Service Management—delivering clear, branded, audience-aware knowledge and service solutions trusted by Apple, IBM, NVIDIA, Santander, Airbnb, and more than 5,000 organizations in 100+ countries. Based in Malmö, Sweden, Refined is a proud Atlassian Cloud Fortified Premium Marketplace Partner.",,,7483774,107,10701751,Signature
team26,14218818,Regulated industries,regulated-industries,,,,,,"Atlassian Cloud is built for all customers - including those in Regulated Industries. With deployment options like Isolated Cloud and Government Cloud, data residency controls, and robust regional and industry compliance certifications, you can unlock cloud innovation and drive greater efficiency, all while ensuring your mission-critical data stays secure.",,,7517333,Atlassian Platform,,
team26,14169679,Research Workshop,Research Workshop,,,,,,"Shape the future of Atlassian in our Research Workshop! Jump into hands‑on activities, share your story, and turn your feedback into what we build next.",,,7483676,347,,
team26,14263428,Rewind,Rewind,,,,exhibitors/14263428/media/rewind.webp,,"Rewind is the leading data protection platform for Atlassian Cloud.
As an Atlassian Platinum Marketplace Partner and Cloud Fortified app, Rewind helps teams protect critical Jira, Confluence, and DevOps data from accidental deletion, outages, and security incidents.
Rewind provides automated, daily backups with fast, granular recovery—so teams can restore exactly what they need without disrupting their entire environment. With support for long-term data retention, compliance requirements, and multi-platform DevOps tools, Rewind gives IT and Atlassian admins confidence that their data is always recoverable.
Trusted by thousands of Atlassian customers, Rewind installs in minutes and works seamlessly alongside Atlassian Cloud to help teams move fast—without risking their data.",,,7483776,102,10701748,Premier
team26,14263429,"Ricksoft, Inc.","Ricksoft, Inc.",,,,exhibitors/14263429/media/ricksoft-inc.webp,,"Work moves fast. Your tools should too.
As an Atlassian Platinum Solution Partner and Gold Marketplace Partner, Ricksoft delivers enterprise-grade work management across Jira and Confluence through both solutions and marketplace apps. We help organizations implement and scale Atlassian, and build powerful extensions that make planning, tracking, and collaboration easier for teams of any size.",,,7483695,340,10701751,Signature
team26,14218782,Rovo,Rovo,,,,,,"Step into the Rovo Hub to see how AI-native teams get more productive and ship faster. Rovo integrates directly into the DNA of your organization to create a single, intelligent layer across your business. Allowing your teams to experience a new era where AI connects every app, team, and workflow to elevate collaboration, team dynamics, and fulfillment at work. Get faster search, smarter chat, specialized agents , and an AI powered studio that work seamlessly together to accelerate your results.",,,7395276,Rovo,,
team26,14218839,Rovo Dev,rovo-dev,,,,,,"AI‑powered, developer‑led automation from your terminal to your PRs. Eliminate the busywork that slows your engineering team down so they can focus on shipping great software.",,,7395271,Software Collection,,
team26,14263431,"ScriptRunner, part of The Adaptavist Group","ScriptRunner, part of The Adaptavist Group",,,,exhibitors/14263431/media/scriptrunner-part-of-the-adaptavist-group.webp,,"ScriptRunner is the market-leader when it comes to stretching Jira, Confluence and your other favourite tools beyond their limits; for teams of any size, in any industry. Our must-have suite of super-apps provide new and unlimited possibilities for automation, customisation and integration, condensed into a simple, nimble toolkit.
Automate boring, time-consuming or critical tasks to optimise day-to-day running and ensure that everyone sleeps easy.
ScriptRunner is part of The Adaptavist Group, whose global team exceeds 1,000 people, proudly counting more than half of the Fortune 500 among its 22,000+ customers.
The Adaptavist Group is a family of companies with one common goal: to make business work better. We combine the best talent, technology, and processes to make it easier for our customers to excel–today and tomorrow.",,,7483771,109,10701751,Signature
team26,14263432,Seibert Group,Seibert Group,,,,exhibitors/14263432/media/seibert-group.webp,,"The Seibert Group is an international group of several companies with a common goal: to support organizations in improving collaboration within their teams and successfully driving digital transformations.
As an expert in Modern Work, agile scaling and IT service management, we offer comprehensive solutions for companies. Alongside our joint-ventures draw.io and Aura Apps, we provide powerful tools built around Atlassian, Google and Miro, as well as individual consulting and tailored services.
In doing so, we rely on decades of experience: Since 1996, we have been supporting organizations in working in a self-organized, responsible and agile way. Worldwide, the Seibert Group employs over 500 people in Europe (Germany, Austria, Denmark, France) and the USA. In 2023, we generated revenues of over 100 million euros.",,,7483766,228,10701752,Strategic
team26,14263433,ServiceRocket,ServiceRocket,,,,exhibitors/14263433/media/servicerocket.webp,,"ServiceRocket is a Platinum Solution Partner with expert teams across the United States, United Kingdom, Europe, South America, and Asia Pacific. Since our founding in 2003, we've delivered trusted Atlassian solutions that help organizations simplify complexity and drive meaningful growth.
With deep expertise across the Atlassian ecosystem, we design and implement solutions that power the System of Work—spanning software development, service management, enterprise strategy &amp; planning, and teamwork foundations. Specialized in ITSM and Cloud, we’re your most reliable partner—we’ve got your back.",,,7483730,326,10701749,Select
team26,14263434,Smart Checklists by TitanApps,Smart Checklists by TitanApps,,,,exhibitors/14263434/media/smart-checklists-by-titanapps.webp,,"TitanApps is a process management solution for enterprises, built with security and compliance at its core. It comes with built-in best practices (a process library) and a set of TitanApps tools to set up any process while addressing approval, change, compliance, and risk management needs.
TitanApps tools (Smart Checklist, Smart Templates, and Smart Hierarchy) - help you organize, automate, and standardize processes across all departments. Unlike other solutions, TitanApps offers an intuitive interface that makes it simple for every team member to get started, even those new to Jira.
TitanApps is designed to help you:
Make Processes Work.
Make Software Development Work.
Make Work Work - in Jira.",,,7483773,105,10701750,Showcase
team26,14169680,Social Studio,Social Studio,,,,,,,,,7483758,118,,
team26,14285162,Sponsor Highlights Lounge,sponsor-highlights-lounge,,,,,,,,,7483763,227,,
team26,14218801,Talent,Talent,,,,,,Connects your workforce to outcomes with an always-on view of people and skills mapped to strategic priorities,,,7395270,Strategy Collection,,
team26,14169675,Team Talk Studio,Team Talk Studio,,,,,,Community champion hosts will be broadcasting live from Team 2026 to the digital audience.,,,7483759,235,,
team26,14218789,Teams,Teams,,,,,,"Make it easy to see who’s doing what. The Teams app gives you a view of people, their projects, and how they connect to work. A single directory and rich team profiles make it simple to find experts and collaborate effectively.",,,7517333,Atlassian Platform,,
team26,14218826,Teamwork Graph,teamwork-graph,,,,,,"Teamwork Graph connects and enriches your work data across every app, system, and platform, creating a single, shared data layer for your entire organization. By unifying context from tools, content, and activity, Teamwork Graph powers richer, more accurate AI across agents and applications — from smarter recommendations to more relevant answers and automations. Visit our booth to see how connected context from Teamwork Graph unlocks AI’s full potential by connecting experiences across all your apps and agents.",,,7517333,Atlassian Platform,,
team26,14285159,Teamwork Graph,Teamwork Graph,,,,,,"Teamwork Graph connects and enriches your work data across every app, system, and platform, creating a single, shared data layer for your entire organization. By unifying context from tools, content, and activity, Teamwork Graph powers richer, more accurate AI across agents and applications — from smarter recommendations to more relevant answers and automations. Visit our booth to see how connected context from Teamwork Graph unlocks AI’s full potential by connecting experiences across all your apps and agents.",,,7517333,Atlassian Platform,,
team26,14263438,TechTime Initiative Group,TechTime Initiative Group,,,,exhibitors/14263438/media/techtime-initiative-group.webp,,"Operational Solutions Built on Atlassian
TechTime builds Marketplace apps that enable structured, accountable, decision-ready Atlassian environments.
We enable practical solution areas across portfolio, service, identity and delivery:

Keeping hierarchies aligned from idea to delivery
Turning knowledge into actionable insight
Governing users and licenses without manual overhead
Making time and capacity visible across support and project work

Our apps are designed for organisations that have outgrown “best effort” configuration and need stability, transparency and control across growing environments.
EasySync keeps hierarchies aligned from initiative to delivery.EasyTime makes support and project effort visible without manual timesheets.UserManagement strengthens identity governance across instances.KB Reports shows which knowledge actually drives value and which content should be retired.
We build for leaders who are responsible for keeping Atlassian environments structured, trusted and audit-ready.",,,7483696,346,10701750,Showcase
team26,14263439,Tempo.io,Tempo.io,,,,exhibitors/14263439/media/tempoio.webp,,"Tempo Software’s modular Strategic Portfolio Management platform helps organizations turn their strategy and resources into measurable value. The Tempo suite of #1 Jira add-ons streamline time-tracking, capacity management, and portfolio management. Trusted by 30,000+ customers and 300 solution partners, Tempo is a leading strategic partner in the Atlassian ecosystem. Discover how to go from static to adaptive strategy at Tempo.io",,,7483696,346,10701752,Strategic
team26,14169688,Theater A,Theater A,,,,,,,,,7483751,301,,
team26,14169689,Theater B,Theater B,,,,,,,,,7483750,300,,
team26,14169693,Theater C,Theater C,,,,,,,,,7483777,111,,
team26,14169681,theCUBE,theCUBE,,,,,,"TheCUBE is about emerging and enterprise technology. Founded in 2010 by SiliconANGLE Media, we produce online shows, podcasts and video stories live from industry events",,,7483754,103,,
team26,14218798,Trello,Trello,,,,,,Capture and organize your tasks. Sign up for free at trello.com.,,,7395275,Teamwork Collection,,
team26,14263442,Trundl,Trundl,,,,exhibitors/14263442/media/trundl.webp,,"Trundl is the Solution Partner behind Rapid Deploy, a proprietary platform that removes the manual effort, risk, and delay from designing, deploying, and evolving Atlassian environments. Rapid Deploy uses responsible AI to help customers:

Accelerate DC to Cloud migrations
Rapid-prototype complex Jira solutions in hours
Compress Atlassian deployments from months to days
Save budget for Rovo &amp; Teamwork Graph enablement
Foster impactful Service Collection activation

Trundl operates out of the US, Canada, and India, and has over a decade of experience deploying and scaling Atlassian solutions for Healthcare, Finance, Manufacturing and other industries. Meet the Trundl team in Anaheim to see how Rapid Deploy can completely change what’s possible with your Atlassian investment.",,,7483691,351,10701751,Signature
team26,14225471,Ventures,ventures,,,,,,"Atlassian Ventures is funding the future of work.
Meet the bold companies we’re backing to build what’s next.",,,7483760,233,,
team26,14170162,Welcome Booth,welcome-desk,,,,,,,,,7483783,225,,
team26,14263444,Xray,Xray,,,,exhibitors/14263444/media/xray.webp,,"Essential to DevOps, Xray natively integrates test management and quality into Jira, ensuring every release is tested, reliable, traceable, and built for scale.",,,7483692,350,10701751,Signature
team26,14263445,yasoon GmbH,yasoon GmbH,,,,exhibitors/14263445/media/yasoon-gmbh.webp?v=18301966,,"yasoon builds advanced apps that connect Microsoft and Atlassian products. Ideal for managing incidents, DevOps, projects and internal support, these solutions keep communication seamlessly connected through Microsoft Teams, Outlook, and cross-tool automation with Jira.",,,7483693,353,10701751,Signature
